Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
351,D'ALEMBERT,571 AV DU COMTE DE NICE,34080,MONTPELLIER,0351 DALEMBERT 571AVDUCOMTEDENICE 34080 MONTPELLIER,3.812737,43.641273,QPV,Secteur Gênes,19730701,20130701,19730701,1,,,,,,
356,RUE ECOLE PIES,rue ECOLE PIES,34000,MONTPELLIER,0356 RUEECOLEPIESRUEECOLEPIES 34000 MONTPELLIER,3.877866586,43.61377289,Hors QPV,Secteur Beaux Arts,19000101,19400101,19901101,1,0,0,1,1,1,0
357,RUE POITEVINE,Rue poitevine,34000,MONTPELLIER,0357 RUEPOITEVINERUEPOITEVINE 34000 MONTPELLIER,3.87271174,43.61009742,Hors QPV,Secteur Beaux Arts,19000101,19400101,19901101,1,0,0,0,1,0,0
358,FRANCOIS MIREUR 3,av des DROITS DE L'HOMME,34000,MONTPELLIER,0358 FRANCOISMIREUR3 AVDESDROITSDELHOMME 34000 MONTPELLIER,3.89518,43.603638,Hors QPV,Secteur Rives du Lez,19941215,20341215,19941215,1,25,2,45,17,13,5
359,FRANCOIS MIREUR,AV DU PIREE,34000,MONTPELLIER,0359 FRANCOISMIREURAVDUPIREE 34000 MONTPELLIER,3.89552,43.603451,Hors QPV,Secteur Rives du Lez,19930308,20330308,19930308,1,28,5,43,48,25,5
360,L'ANCIENNE POSTE,rte DE LODEVE,34080,MONTPELLIER,0360 LANCIENNEPOSTERTEDELODEVE 34080 MONTPELLIER,3.827158,43.614986,Hors QPV,Secteur Celleneuve,19000101,19400101,19910901,1,0,0,0,1,0,1
361,LA TRILOGIE,RUE MARCEL PAGNOL,34400,LUNEL VIEL,0361 LATRILOGIERUEMARCELPAGNOL 34400 LUNELVIEL,4.095087,43.673073,Hors QPV,Secteur Lunel,19960615,20360615,19960615,1,13,4,17,11,9,3
366,ERNEST GRANIER,RUE FAVRE DE SAINT CASTOR,34080,MONTPELLIER,0366 ERNESTGRANIERRUEFAVREDESAINTCASTOR 34080 MONTPELLIER,3.827511,43.615108,Hors QPV,Secteur Celleneuve,19961001,20361001,19961001,1,12,7,15,13,8,5
369,LE PETIT PRINCE,rue fernandel,34000,MONTPELLIER,0369 LEPETITPRINCERUEFERNANDEL 34000 MONTPELLIER,3.864336,43.589481,Hors QPV,Secteur Croix d'argent,19960201,20360201,19960201,1,17,9,20,22,11,4
370,PETIT BOIS DE LA COLLINE,rue PERE JOURDAN,34000,MONTPELLIER,0370 PETITBOISDELACOLLINERUEPEREJOURDAN 34000 MONTPELLIER,3.839333,43.605606,Hors QPV,Secteur Pas du Loup,19970801,20370801,19970801,1,40,12,38,40,7,8
375,FONT DEL REY,pl. LE GRAND MAIL,34080,MONTPELLIER,0375 FONTDELREYPLLEGRANDMAIL 34080 MONTPELLIER,3.816901,43.625015,QPV,Secteur Jupiter,19720101,20120101,19940801,1,0,0,0,0,0,0
381,AMARCORD,av MARIE DE MONTPELLIER,34000,MONTPELLIER,0381 AMARCORDAVMARIEDEMONTPELLIER 34000 MONTPELLIER,3.897606,43.601341,Hors QPV,Secteur Le Damier,19980901,20380901,19980901,1,33,13,43,32,16,9
382,LA CARRIERA,imp DES SEYCHELLES,34080,MONTPELLIER,0382 LACARRIERAIMPDESSEYCHELLES 34080 MONTPELLIER,3.816755,43.641251,QPV,Secteur Gênes,19920210,20320210,19920210,1,20,9,19,20,11,6
383,LES BALEARES,rue LOUIS PERGAUD,34080,MONTPELLIER,0383 LESBALEARESRUELOUISPERGAUD 34080 MONTPELLIER,3.815908,43.641281,QPV,Secteur Gênes,19940301,20340301,19940301,1,25,2,23,2,6,1
388,BEAUX ARTS 4,rue RUE SUBSTANTION,34000,MONTPELLIER,0388 BEAUXARTS4RUERUESUBSTANTION 34000 MONTPELLIER,3.883409,43.617455,Hors QPV,Secteur Beaux Arts,19920601,20320601,19920601,1,11,5,23,14,9,7
393,NOVACERES,av LEPIC,34000,MONTPELLIER,0393 NOVACERESAVLEPIC 34000 MONTPELLIER,3.866644117,43.60146313,Hors QPV,Secteur Astruc,19961201,20361201,19961201,1,17,3,13,13,5,4
396,GUSTAVE EIFFEL,imp HENRI LABROUSTE,34070,MONTPELLIER,0396 GUSTAVEEIFFELIMPHENRILABROUSTE 34070 MONTPELLIER,3.844843,43.595543,Hors QPV,Secteur Val De Croze,19910301,20310301,19910301,1,32,3,34,22,10,6
398,LES ARCADES,rue rouget de lisle,34070,MONTPELLIER,0398 LESARCADESRUEROUGETDELISLE 34070 MONTPELLIER,3.842597,43.594028,QPV,Secteur Val De Croze,19860401,20260401,19860401,1,0,0,0,0,0,0
405,LE MONTAIGNE,rue Daniel Mayer,34080,MONTPELLIER,0405 LEMONTAIGNERUEDANIELMAYER 34080 MONTPELLIER,3.81736,43.633881,QPV,Secteur Uranus,19970601,20370601,19970601,1,33,17,32,16,13,7
406,4 AOUT 1789,chem CHEMIN DE MOULARES,34000,MONTPELLIER,0406 4AOUT1789CHEMCHEMINDEMOULARES 34000 MONTPELLIER,3.893958,43.602489,Hors QPV,Secteur Le Damier,19970922,20370922,19970922,1,31,10,41,34,5,8
408,BASTIDES DU MIDI,rue FRANCIS LOPEZ,34090,MONTPELLIER,0408 BASTIDESDUMIDIRUEFRANCISLOPEZ 34090 MONTPELLIER,3.838045,43.636433,Hors QPV,Secteur Bastide,19970415,20370415,19970415,1,37,6,28,21,4,1
412,CITE UNIV. VERT BOIS II,rue de la CHENAIE,34090,MONTPELLIER,0412 CITEUNIVVERTBOISIIRUEDELACHENAIE 34090 MONTPELLIER,43.63549737665817,3.871160194983901,QPV,,20060601,20460601,20060601,1,0,0,0,0,0,0
